time,latitude,longitude,depth,mag,magType,place,type
2020-11-28T22:14:33.630Z,192.465,-155.385.333.333.333,29.39,3,md,"10 km ENE of Pāhala, Hawaii",earthquake
2020-11-28T22:09:53.506Z,593.924,-1.456.149,6.9,2.5,ml,Gulf of Alaska,earthquake
2020-11-28T21:57:30.480Z,186.245,-686.286,137,3.6,md,"4 km SE of Otra Banda, Dominican Republic",earthquake
2020-11-28T21:54:13.551Z,608.954,-1.470.785,16,2.5,ml,"21 km W of Tatitlek, Alaska",earthquake
2020-11-28T21:07:52.488Z,-72.539,1.066.297,54.96,4.6,mb,"30 km SSE of Pelabuhanratu, Indonesia",earthquake
2020-11-28T20:15:24.881Z,-174.386,66.178,10,4.8,mb,Mauritius - Reunion region,earthquake
2020-11-28T18:29:34.667Z,44.26,-1.146.896,16.77,2.7,ml,"20 km ENE of Stanley, Idaho",earthquake
2020-11-28T18:14:38.849Z,631.916,-1.497.876,85.8,2.6,ml,"47 km WSW of Cantwell, Alaska",earthquake
2020-11-28T17:26:10.356Z,5.311,1.204.025,10,4.6,mb,"Minahasa, Sulawesi, Indonesia",earthquake
2020-11-28T17:07:57.766Z,521.075,-1.694.933,37.44,4.6,mb,"101 km SSW of Nikolski, Alaska",earthquake
2020-11-28T16:48:32.740Z,191.471.666.666.667,-155.492,33.15,2.72,md,"6 km SSW of Pāhala, Hawaii",earthquake
2020-11-28T14:45:29.417Z,597.789,-1.365.169,5,3.2,ml,"36 km NW of Mosquito Lake, Alaska",earthquake
2020-11-28T13:09:47.722Z,-556.478,-1.249.561,10,5.1,mb,southern East Pacific Rise,earthquake
2020-11-28T11:39:36.855Z,609.382,-1.508.373,25.4,2.5,ml,"8 km WNW of Point Possession, Alaska",earthquake
2020-11-28T11:38:03.661Z,544.768,-1.596.883,25.11,3.6,mb,"108 km SSE of Sand Point, Alaska",earthquake
2020-11-28T11:21:46.430Z,-36.817,1.314.498,10,4.5,mb,"259 km NW of Tual, Indonesia",earthquake
2020-11-28T11:05:47.023Z,381.459,-1.178.866,7.9,2.5,ml,"33 km SE of Mina, Nevada",earthquake
2020-11-28T10:24:02.690Z,564.759,-1.548.379,0.4,3,ml,"66 km SW of Akhiok, Alaska",earthquake
2020-11-28T10:05:49.669Z,-59.179,1.515.503,10,4.6,mb,"161 km ESE of Kimbe, Papua New Guinea",earthquake
2020-11-28T09:09:41.651Z,57.641,-1.548.194,35.2,2.9,ml,"23 km WNW of Karluk, Alaska",earthquake
2020-11-28T06:57:50.562Z,-8.672,1.573.235,10,4.9,mb,"82 km SE of Gizo, Solomon Islands",earthquake
2020-11-28T04:49:37.110Z,185.146,-677.905,89,3.22,md,"60 km WNW of Rincón, Puerto Rico",earthquake
2020-11-28T04:05:04.652Z,-555.315,-297.908,10,5,mb,South Sandwich Islands region,earthquake
2020-11-28T03:15:07.240Z,34.859,-1.163.393.333,4,2.6,ml,"22km NW of Ludlow, CA",earthquake
2020-11-28T02:54:04.743Z,522.501,1.597.789,48.39,4.4,mb,"116 km SE of Petropavlovsk-Kamchatsky, Russia",earthquake
2020-11-28T00:56:56.550Z,340.465,-1.172.418.333,14.98,2.91,ml,"2km E of Loma Linda, CA",earthquake
2020-11-28T00:09:30.012Z,366.957,71.351,181.34,4,mb,"16 km W of Ashkāsham, Afghanistan",earthquake
2020-11-27T23:37:51.117Z,337.296,88.567,10,4.5,mb,western Xizang,earthquake
2020-11-27T23:03:13.435Z,362.328,713.322,155.83,3.9,mb,"53 km SSW of Ashkāsham, Afghanistan",earthquake
2020-11-27T22:57:17.468Z,522.565,1.596.541,35,4.7,mb,"110 km SE of Petropavlovsk-Kamchatsky, Russia",earthquake
2020-11-27T22:52:49.443Z,443.303,-1.150.366,9.93,3,ml,"14 km NNW of Stanley, Idaho",earthquake
2020-11-27T21:57:03.270Z,33.046,-1.164.943.333,6.7,2.78,ml,"11km ESE of Julian, CA",earthquake
2020-11-27T21:00:55.125Z,-224.435,-127.603,10,5.1,mww,southern Mid-Atlantic Ridge,earthquake
2020-11-27T18:49:18.330Z,17.924,-669.566,12,2.6,md,"7 km SW of Guánica, Puerto Rico",earthquake
